Signal,Step,Cp,Itail,f0 (MHz),Baseline (dB),Depth (dB),BW (Hz),Q,Note
"V(act+,act-)",Itail=275µ Cp=300f,300f,275µ,49.954695469547005,-6.03183350983644,0.22922292749179984,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=300f,300f,300µ,49.954895489549,-6.0317788635628595,0.2367648447477002,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=300f,300f,325µ,49.954895489549,-6.031726380690535,0.24447021773245492,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=300f,300f,350µ,49.954895489549,-6.031675817834615,0.2523633344603047,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=300f,300f,375µ,49.954895489549,-6.0316269743608455,0.26046837212645446,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=300f,300f,400µ,49.954895489549,-6.031579682527325,0.2688093851715747,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=400f,400f,50µ,49.938693869386896,-6.041758475796345,0.28507979357467494,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=400f,400f,75µ,49.938693869386896,-6.041555336526351,0.299799187602499,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=400f,400f,100µ,49.93889388938889,-6.041383440824565,0.31339168127828465,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=400f,400f,125µ,49.93889388938889,-6.04123153153343,0.3263898792507094,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=400f,400f,150µ,49.9390939093909,-6.0410938332691195,0.3390721286766105,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=400f,400f,175µ,49.9390939093909,-6.040966914130834,0.3516072877503662,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=400f,400f,200µ,49.939293929392896,-6.040848537365625,0.36411126349250456,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=400f,400f,225µ,49.939293929392896,-6.040737148848615,0.37667003771873464,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=400f,400f,250µ,49.939293929392896,-6.04063161668799,0.3893504001966104,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=400f,400f,275µ,49.939493949394894,-6.04053108613758,0.4022096981462093,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=400f,400f,300µ,49.939493949394894,-6.040434892942805,0.4152974954563744,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=400f,400f,325µ,49.939493949394894,-6.040342508696,0.4286581051162601,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=400f,400f,350µ,49.9396939693969,-6.0402535048290655,0.4423344458187044,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=400f,400f,375µ,49.9396939693969,-6.0401675280536455,0.4563687827836045,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=400f,400f,400µ,49.9396939693969,-6.0400842830015495,0.4708005037247007,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=500f,500f,50µ,49.9230923092309,-6.05362045663432,0.43998793896964017,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=500f,500f,75µ,49.9232923292329,-6.053305983860525,0.462485347956755,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=500f,500f,100µ,49.9234923492349,-6.053039876972175,0.4832406055662748,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=500f,500f,125µ,49.9234923492349,-6.052804709163505,0.5030722531150049,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=500f,500f,150µ,49.9236923692369,-6.052591539806085,0.522405009684805,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=500f,500f,175µ,49.9236923692369,-6.052395056141275,0.5414980540973442,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=500f,500f,200µ,49.9238923892389,-6.052211795575345,0.5605288153039352,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=500f,500f,225µ,49.9238923892389,-6.05203935226358,0.5796263672386202,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=500f,500f,250µ,49.9240924092409,-6.051875974001595,0.5988943962070454,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=500f,500f,275µ,49.9240924092409,-6.05172033762096,0.6184177012851899,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=500f,500f,300µ,49.924292429242904,-6.0515714148434,0.6382703961208707,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=500f,500f,325µ,49.924292429242904,-6.051428387687665,0.6585217043610756,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=500f,500f,350µ,49.924292429242904,-6.05129059272827,0.6792324448590001,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=500f,500f,375µ,49.9244924492449,-6.05115748307551,0.7004661966379997,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=500f,500f,400µ,49.9244924492449,-6.051028601502015,0.722282135841045,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=600f,600f,50µ,49.9076907690769,-6.068149966210255,0.624418642672155,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=600f,600f,75µ,49.9078907890789,-6.06770111827713,0.6559880366845006,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=600f,600f,100µ,49.908090809080896,-6.0673212873621,0.6850819098008198,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=600f,600f,125µ,49.908090809080896,-6.06698560529748,0.7128536752004493,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=600f,600f,150µ,49.9082908290829,-6.0666813137975595,0.7399008723227603,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=600f,600f,175µ,49.9084908490849,-6.066400831580195,0.7665875526806456,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=600f,600f,200µ,49.9084908490849,-6.066139217559405,0.7931622678074755,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=600f,600f,225µ,49.9086908690869,-6.06589303863277,0.8198065228251004,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=600f,600f,250µ,49.9086908690869,-6.0656597944421655,0.8466621374598446,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=600f,600f,275µ,49.9088908890889,-6.065437596862035,0.8738497590921854,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=600f,600f,300µ,49.9088908890889,-6.0652249785729495,0.9014688264557806,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=600f,600f,325µ,49.9090909090909,-6.065020772347145,0.9296157787074453,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=600f,600f,350µ,49.9090909090909,-6.06482403150575,0.95837308026125,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=600f,600f,375µ,49.9092909290929,-6.064633975664551,0.9878272224994591,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=600f,600f,400µ,49.9092909290929,-6.064449952385575,1.018056980056115,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=700f,700f,50µ,49.8920892089209,-6.085397713482635,0.835833054844815,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=700f,700f,75µ,49.8924892489249,-6.084791930766794,0.8775596725394852,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=700f,700f,100µ,49.8926892689269,-6.0842792560318895,0.9159698991074503,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=700f,700f,125µ,49.892889288928906,-6.083826140092681,0.9525931151425793,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=700f,700f,150µ,49.892889288928906,-6.08341537104519,0.9882237578841799,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=700f,700f,175µ,49.893089308930904,-6.08303672119694,1.0233443885617701,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=700f,700f,200µ,49.8932893289329,-6.08268352469345,1.0582808931141203,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=700f,700f,225µ,49.8934893489349,-6.08235115006754,1.0932721204285798,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=700f,700f,250µ,49.8934893489349,-6.0820362241940895,1.1285077825326004,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=700f,700f,275µ,49.8936893689369,-6.081736199893809,1.164140180669361,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=700f,700f,300µ,49.8936893689369,-6.081449097684075,1.2003013353437852,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=700f,700f,325µ,49.893889388938895,-6.08117334292578,1.2371152001657997,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=700f,700f,350µ,49.8940894089409,-6.0809076585142705,1.2746865811898394,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=700f,700f,375µ,49.8940894089409,-6.080650991686505,1.313127596849145,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=700f,700f,400µ,49.8942894289429,-6.080402462286255,1.3525354399059655,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=800f,800f,50µ,49.8766876687669,-6.10543088263824,1.07150267348009,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=800f,800f,75µ,49.8770877087709,-6.104646051846375,1.1242607134144746,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=800f,800f,100µ,49.8772877287729,-6.1039817722485346,1.172763829674885,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=800f,800f,125µ,49.877487748774904,-6.103394605554545,1.2189558588032448,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=800f,800f,150µ,49.8776877687769,-6.102862266481415,1.2638444406043057,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=800f,800f,175µ,49.8778877887789,-6.102371512668805,1.3080410936374447,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=800f,800f,200µ,49.878087808780904,-6.101913713495125,1.3519583254674954,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=800f,800f,225µ,49.8782878287829,-6.1014828723843895,1.3958972271299208,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=800f,800f,250µ,49.8782878287829,-6.10107462200965,1.44009510395,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=800f,800f,275µ,49.8784878487849,-6.100685664442195,1.484742304556045,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=800f,800f,300µ,49.8786878687869,-6.1003134367804055,1.5300027417464648,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=800f,800f,325µ,49.8786878687869,-6.099955900294045,1.5760258639162048,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=800f,800f,350µ,49.8788878887889,-6.099611401484995,1.6229486344888349,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=800f,800f,375µ,49.8790879087909,-6.09927857732053,1.6708952615229,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=800f,800f,400µ,49.8790879087909,-6.0989795511400455,1.7199743909292842,,,notch shallower than 3 dB
