Signal,Step,Cp,Itail,f0 (MHz),Baseline (dB),Depth (dB),BW (Hz),Q,Note
"V(act+,act-)",Itail=175µ Cp=100f,100f,175µ,50.0543054305431,-6.021684546471665,0.5710920656016656,,,notch shallower than 3 dB
"V(act+,act-)",Itail=180µ Cp=100f,100f,180µ,50.0543054305431,-6.02168095836047,0.6939286757849699,,,notch shallower than 3 dB
"V(act+,act-)",Itail=185µ Cp=100f,100f,185µ,50.0543054305431,-6.02167741966844,0.8807562762787198,,,notch shallower than 3 dB
"V(act+,act-)",Itail=190µ Cp=100f,100f,190µ,50.0543054305431,-6.02167392842785,1.1993198970741599,,,notch shallower than 3 dB
"V(act+,act-)",Itail=195µ Cp=100f,100f,195µ,50.0543054305431,-6.02167048279931,1.86513545178913,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=100f,100f,200µ,50.0545054505451,-6.0216670810603805,4.13471966168642,999.5919905304909,50074.93649882169,
"V(act+,act-)",Itail=205µ Cp=100f,100f,205µ,50.037503750375,-6.02166372159534,0.0018929732806194366,,,notch shallower than 3 dB
"V(act+,act-)",Itail=210µ Cp=100f,100f,210µ,49.936493649364905,-6.021660402886194,0.00027338255575592996,,,notch shallower than 3 dB
"V(act+,act-)",Itail=215µ Cp=100f,100f,215µ,49.8414841484148,-6.021657123504545,0.00014983842757576582,,,notch shallower than 3 dB
"V(act+,act-)",Itail=220µ Cp=100f,100f,220µ,49.7542754275428,-6.0216538821043795,0.0001040115042805212,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=100f,100f,225µ,49.675267526752705,-6.021650677415525,8.006392861492628e-05,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=200f,200f,175µ,50.029702970297,-6.02493021682028,2.0604034114808396,,,notch shallower than 3 dB
"V(act+,act-)",Itail=180µ Cp=200f,200f,180µ,50.029702970297,-6.024916028440205,2.455276418652475,,,notch shallower than 3 dB
"V(act+,act-)",Itail=185µ Cp=200f,200f,185µ,50.029702970297,-6.024902035454735,3.029315757966435,860.3587971627712,58149.812770301556,
"V(act+,act-)",Itail=190µ Cp=200f,200f,190µ,50.029702970297,-6.024888230081985,3.943391664454235,3771.2653499916196,13266.025677670275,
