w_um,l_um,ov_um,rload,p_in_req,corner,vamp,vout,pout,pin,eta,ripple,drift_pct,settled
6000.0,10.0,5.0,100000.0,1.0,tt,4.811243168473307,0.00265068,7.02612e-11,0.857908,8.189829212456348e-11,9.300000000001148e-07,0.003395355154161682,True
6000.0,10.0,5.0,100000.0,10.0,tt,15.214486789300869,0.0278991,7.78358e-09,8.57908,9.072744396835094e-10,3.099999999998937e-06,0.0014337380058894156,True
6000.0,10.0,5.0,100000.0,100.0,tt,48.112431684733075,0.320464,1.02697e-06,85.7908,1.1970630883497998e-08,8.999999999981245e-06,0.0,True
6000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.67493,2.80539e-05,857.908,3.270035947910498e-08,2.999999999997449e-05,0.000597039876283992,True
100.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,0.215398,4.63961e-07,857.908,5.408050746700113e-10,2.000000000002e-06,0.0009285137280763982,True
300.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,0.522207,2.727e-06,857.908,3.1786625139292325e-09,5.999999999950489e-06,0.000957474717886347,True
1000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.07176,1.14868e-05,857.908,1.338931447194804e-08,9.999999999843467e-06,0.00093304471148797,True
3000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.55165,2.40761e-05,857.908,2.806373177543513e-08,2.0000000000131024e-05,0.0006444752360432773,True
6000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.67493,2.80539e-05,857.908,3.270035947910498e-08,2.999999999997449e-05,0.000597039876283992,True
10000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.60307,2.56982e-05,857.908,2.995449395506278e-08,4.999999999988347e-05,0.001871409233531567,True
20000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.25094,1.56485e-05,857.907,1.8240322086193494e-08,0.0001500000000000945,0.009592786224768576,True
6000.0,5.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.88936,3.56966e-05,857.908,4.1608890463779335e-08,4.0000000000040004e-05,0.0010585595122227117,True
6000.0,10.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.67493,2.80539e-05,857.908,3.270035947910498e-08,2.999999999997449e-05,0.000597039876283992,True
6000.0,20.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.28887,1.66119e-05,857.908,1.9363265058724243e-08,3.0000000000196536e-05,0.0007758734395296277,True
6000.0,50.0,5.0,100000.0,1000.0,tt,152.1448678930087,0.553481,3.06341e-06,858.018,3.570333023316527e-09,4.999999999999449e-05,0.002348770779833406,True
6000.0,5.0,2.0,100000.0,1000.0,tt,152.1448678930087,2.0764,4.31143e-05,857.908,5.025515556446612e-08,5.000000000032756e-05,0.001926411096140534,True
6000.0,5.0,5.0,100000.0,1000.0,tt,152.1448678930087,1.88936,3.56966e-05,857.908,4.1608890463779335e-08,4.0000000000040004e-05,0.0010585595122227117,True
6000.0,5.0,10.0,100000.0,1000.0,tt,152.1448678930087,1.57839,2.49133e-05,857.908,2.9039593989099063e-08,5.999999999994898e-05,0.0012671139578880365,True
6000.0,5.0,2.0,1000.0,1000.0,tt,152.1448678930087,0.160443,2.57421e-05,857.784,3.0010002518116444e-08,0.00014600000000000724,0.08102566020330662,True
6000.0,5.0,2.0,10000.0,1000.0,tt,152.1448678930087,0.956857,9.15576e-05,857.908,1.0672193288790873e-07,0.00012199999999995548,0.011704988310688117,True
6000.0,5.0,2.0,100000.0,1000.0,tt,152.1448678930087,2.0764,4.31143e-05,857.908,5.025515556446612e-08,5.000000000032756e-05,0.001926411096140534,True
6000.0,5.0,2.0,1000000.0,1000.0,tt,152.1448678930087,1.4709,2.16353e-06,857.908,2.521867146593807e-09,0.00014999999999987246,0.009517982187778162,True
6000.0,5.0,2.0,10000000.0,1000.0,tt,152.1448678930087,0.187205,3.50458e-09,857.849,4.085311051245615e-12,0.0005020000000000024,0.2686894046633388,True
6000.0,5.0,2.0,10000.0,1000.0,best,152.1448678930087,0.898002,8.06408e-05,857.978,9.398935637044307e-08,0.0001180000000000625,0.012026699272384358,True
6000.0,5.0,2.0,10000.0,1000.0,tt,152.1448678930087,0.956857,9.15576e-05,857.908,1.0672193288790873e-07,0.00012199999999995548,0.011704988310688117,True
6000.0,5.0,2.0,10000.0,1000.0,all,152.1448678930087,0.801314,6.42105e-05,857.801,7.485477400935649e-08,0.00011899999999998023,0.013103477538146313,True
