topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
solenoid,1,14.054572823534533,120,2,8,3.2636432058836338,2.288445128430835e-06,3.214711241551694,1.924265690308078e-09,0.0012639145354326788,1.585054422951647e-07,3.9626357433294574e-08,0.004997002564821662,0.006455888505567832,0.46356047899848724,0.058757349477877606,0.40480312952060965,2,92.25496965451984,True,71.80428822441603,15.509006331070607,2.288445128430835
solenoid,1,27.10914564706907,120,4,8,3.2636432058836338,5.728572374946738e-05,16.27233850186396,6.314643522456299e-09,0.0008289886034364406,7.505303275700683e-08,1.8763257485132022e-08,0.005839099541623906,0.03267864364769047,10.54265365827494,0.29742001950845176,10.245233638766488,4,92.25496965451984,True,322.61601099285616,17.07050375743337,57.28572374946738
solenoid,1,40.163718470603605,120,6,8,3.2636432058836338,0.0003245169751594907,39.172881780936805,1.1487365704448496e-08,0.0006336138492561568,4.494250495337506e-08,1.1235625985865174e-08,0.0046878418999717055,0.07866826542636794,58.264513948235816,0.7159880100917225,57.548525938144095,6,92.25496965451984,True,740.6355489402563,17.497788551570107,324.5169751594907
solenoid,1,53.21829129413814,120,8,8,3.2636432058836338,0.0010696981194898353,71.91634107877022,1.7010000641764377e-08,0.0005167692192917618,2.9983954713227395e-08,7.495988565927158e-09,0.003851705052534849,0.14442475384160022,191.48742325868085,1.31446132122769,190.17296193745315,8,92.25496965451984,True,1325.8629020666167,17.549746592016646,1069.6981194898353
solenoid,1,79.32743694120721,120,12,8,3.2636432058836338,0.0055206010657249584,166.9320077307188,2.8564628793421177e-08,0.0003819955695249402,1.611019951659966e-08,4.0275498467076e-09,0.002829268236061937,0.33523833058172925,1005.0247540771885,3.0511239051577146,1001.9736301720308,12,92.25496965451984,True,2997.9410538562174,17.256768732434114,5520.601065724958
pancake,1,1306.4572823534534,200,1,8,3.2636432058836338,0.02697269466153691,410.7498193124084,1.4880528219501345e-08,9.002831119605635e-05,6.371553343250085e-12,1.5928883358074464e-12,5.629398140503304e-05,0.8248812530618079,689623.2272479315,7.507539205812109,689615.7197087257,200,92.25496965451984,True,836027.2762754352,0.12287465973900628,26972.69466153691
solenoid,1,7.5272864117672675,200,1,8,3.2636432058836338,5.3291079636616966e-08,0.6283185307179586,4.4591131151446783e-10,0.0019193057024237679,3.435717056091604e-07,8.589291164710367e-08,0.0013928963941163873,0.001261809872024274,0.011484182783086213,0.011484182783086213,0.0,1,92.25496965451984,True,9.101357532306013,14.578213134576476,0.053291079636616966
solenoid,1,14.054572823534533,200,2,8,3.2636432058836338,3.847420878375727e-06,5.357852069252823,1.928516505363681e-09,0.0009769254760348912,9.552390678680741e-08,2.3880975556099827e-08,0.004550590570640138,0.010759814175946387,0.772600798330812,0.09792891579646268,0.6746718825343493,2,92.25496965451984,True,71.80428822441603,15.644598339643123,3.8474208783757273
solenoid,1,27.10914564706907,200,4,8,3.2636432058836338,9.719379388541942e-05,27.120564169773264,6.332201371345525e-09,0.0006382023129134093,4.528258950319843e-08,1.1320647119485504e-08,0.004616213635404537,0.054464406079484114,17.571089430458233,0.49570003251408623,17.075389397944146,4,92.25496965451984,True,322.61601099285616,17.377596878863027,97.19379388541941
solenoid,1,40.163718470603605,200,6,8,3.2636432058836338,0.0005554542194134794,65.28813630156135,1.1524023638887711e-08,0.00048585080774865693,2.713787963209364e-08,6.784469815965348e-09,0.003655130246566958,0.13111377571061325,97.10752324705972,1.1933133501528712,95.91420989690684,6,92.25496965451984,True,740.6355489402564,17.96988365850095,555.4542194134794
